序号,国家,缩写名称,英文全称,中文译名
1,毛里求斯,MAURITAS,Mauritias Accreditation Service ,
2,埃塞俄比亚,ENAO,Ethiopian National Accreditation Office ,
3,肯尼亚,KENAS,Kenya Accreditation Service,
4,南非,SANAS,South African National Accreditation System,
5,安哥拉,SADCAS,Southern African Development Community Accreditation Service,
6,博茨瓦纳,SADCAS,Southern African Development Community Accreditation Service ,
7,津巴布韦,SADCAS,Southern African Development Community Accreditation Service ,
8,莱索托,SADCAS,Southern African Development Community Accreditation Service ,
9,马拉维,SADCAS,Southern African Development Community Accreditation Service ,
10,莫桑比克,SADCAS,Southern African Development Community Accreditation Service,
11,纳米比亚,SADCAS,Southern African Development Community Accreditation Service,
12,斯威士兰,SADCAS,Southern African Development Community Accreditation Service ,
13,坦桑尼亚,SADCAS,Southern African Development Community Accreditation Service,
14,赞比亚,SADCAS,Southern African Development Community Accreditation Service ,
15,刚果（金）,SADCAS,Southern African Development Community Accreditation Service ,
16,塞舌尔,SADCAS,Southern African Development Community Accreditation Service ,
17,马达加斯加,SADCAS,Southern African Development Community Accreditation Service ,
18,埃及,EGAC ,Egyptian Accreditation Council,
19,突尼斯,TUNAC,Tunisian Accreditation Council,
20,阿尔及利亚,ALGERAC,Organisme algérien d'accréditation,
21,摩洛哥,SEMAC,Moroccan Accreditation Service,
22,利比亚,LNCSM,Libyan National Center for Standization and Metrology ,
23,毛里塔利亚,DNPQ,Direction de la Normalisation et de la Promotion de la Qualite,
24,苏丹,SSMO,the State Service Management Office,
25,伊拉克,COSQC,Central Organizaton for Standardization and Quality Control,
26,约旦,JSMO,The Jordan Standards and Metrology Organization,
27,以色列,ISRAC,Israel Laboratory Accreditation Authority,
28,中国,CNAS,China National Accreditation Service for Conformity Assessment,中国合格评定国家认可中心
29,中国香港,HKAS,Hong Kong Accreditation Servce,
30,中国台湾,TAF,Taiwan Accreditation Foundation,财团法人全国认证基金会/中国台北认可机构
31,印尼,KAN,The National Accreditation Body of Indonesia,
32,伊朗,NACI,National Accreditation Centre of Iran,
33,哈萨克斯坦,NCA,National Center of Accreditation,
34,吉尔吉斯斯坦,KCA,Kyrgyz Center of Accreditation,
35,马来西亚,,"Department of Standards Malaysia,Ministry of Science, Technology and Innovation",
36,蒙古,MASM,Mongolian Agency for Standardization and Metrology,
37,巴基斯坦,PNAC,Pakistan National Accreditation Council,
38,菲律宾,PAO,Philippine Accreditation Office,
39,新加坡,SAC  ,Singapore Accreeditation Counsil,
40,斯里兰卡,SLAB,Sri Lanka Accreditation Board for Conformity Assessment,
41,越南,BoA,Bureau of Accreditation,
42,孟加拉,BAB,Bangladesh Accreditation Board,
43,乌兹别克斯坦,Uzstandard Agency," Agency for Standardization, Metrology and Certification of Uzbekistan",
44,朝鲜,,暂未查到,
45,格鲁吉亚,GAC,Georgiana Center for Accreditation,
46,墨西哥,EMA,Mexican Accreditation Entity,
47,印度,NABCB,CB/IB: National Accreditation Board for Certification Bodies,
48,印度,NABL ,LB: National Accreditation Board for Testing and Calibration Laboratories,
49,日本,IAJAPAN,International Accreditation Japan,
50,日本,JAB,The Japan Accreditation Board,
51,日本,JASC,Japan Accreditation System for Product Certification Bodies of JIS Mark,
52,日本,JIPDEC,Japan Information Processing Development Center-Information Management Systems Promotion Center Japan,
53,日本,VLAC,Voluntary EMC Laboratory Accreditation Center,
54,日本,JLA,Japan Laboratories Association,
55,韩国,KAB,Korea Accreditation Board,
56,韩国,KAS,Korea Accreditation Service,
57,韩国,NIER,National Institute of Environmental Research,
58,韩国,KOLAS,The Korea Laboratory Accreditation Scheme,
59,泰国,NSC,National Standardisation Council of Thailand,
60,泰国,DMSc,Department of Medical Sciences,
61,泰国,DSS,Department of Science Service,
62,黎巴嫩,COLIBAC,Lebanese Accreditation Council,
63,巴勒斯坦,,Palestine Laboratories Accreditation Committee,
64,也门,YSMO,"The Yemen Standardization, Metrology and Quality Control Organization",
65,阿联酋,DAC,Dubai Accreditation Department,
66,阿曼,,ODGSM,
67,沙特阿拉伯,SASO,"The Saudi Standards, Metrology and Quality Organization",
68,巴林,,GCC Accreditation Center,
69,卡塔尔,,GCC Accreditation Center,
70,科威特,,GCC Accreditation Center,
71,挪威,NA,Norsk Akkreditering,
72,奥地利,,AKKREDITIERUNG AUSTRIA,
73,比利时,BELAC,Belgian Accreditation Council,
74,丹麦,DANAK,Danish Accreditation,
75,芬兰,FINAS,Finnish Accreditation Service,
76,法国,COFRAC,Comité fran?ais d'accréditation,
77,德国,DAkkS,Deutsche Akkreditierungsstelle GmbH,
78,希腊,ESYD,Hellenic Accreditation System,
79,爱尔兰,INAB,Irish National Accreditation Board,
80,意大利,ACCREDIA,Ente Italiano di Accreditamento,
81,卢森堡,OLAS,Office Luxembourgeois d'Accreditation et de Surveillance,
82,荷兰,RVA,Raad voor Accreditatie,
83,葡萄牙,IPAC,Instituto Português de Acredita??o,
84,西班牙,ENAC,Entidad Nacional de Acreditación,
85,瑞典,SWEDAC,Swedish Board for Accreditation and Conformity Assessment,
86,英国,UKAS,United Kingdom Accreditation Service(UKAS),英国皇家认可委员会
87,拉脱维亚,LATAK,Latvian National Accreditation Bureau,
88,波兰,PCA,Polskie Centrum Akredytacji,
89,捷克,CAI,Czech Accreditation Institute,
90,斯洛文尼亚,SA,Slovenska akreditacija,
91,斯洛伐克,SNAS,Slovak National Accreditation Service,
92,爱沙尼亚,EAK,Estonian Accreditation Centre,
93,立陶宛,LA,Lithuanian National Accreditation Bureau,
94,马耳他,NAB-Malta,National Accreditation Board,
95,塞浦路斯,CYS-CYSAB,Cyprus Organization for the Promotion of Quality,
96,罗马尼亚,RENAR,Romanian Association for Accreditation,
97,保加利亚,BAS,"Executive Agency ""BulgarianAccreditation Service""",
98,克罗地亚,HAA,Croatian Accreditation Agency,
99,土耳其,TURKAK?,Turkish Accreditation Agency,
100,马其顿,IARM,The Accreditation Institute of the former Yugoslav Republic of Macedonia,
101,瑞士,SAS,Swiss Accreditation Service,
102,波斯尼亚和黑塞哥维那,BATA,Institute for Accreditation of Bosnia and Herzegovina,
103,乌克兰,NAAU,National Accreditation Agency of Ukraine,
104,塞尔维亚,ATS,Accreditation Body of Serbia,
105,匈牙利,NAT,Hungarian Accreditation Board,
106,阿尔巴尼亚,GDA,General Directorate of Accrediation,
107,白俄罗斯,BSCA,Republican Unitary Enterprise,
108,冰岛,ISAC,Icelandic Board for Technical Accreditation,
109,黑山,ATCG,Accreditation Body of Montenegro,
110,科索沃,DAK,Accreditation Directorate of Kosovo,
111,摩尔多瓦,MOLDAC,National Center of Accreditation of the republic of Moldova,
112,俄罗斯,,RusAccreditation,
113,阿根廷,OAA,Argentine Accreditation Body,
114,巴西,Cgcre,General Accreditation Coordination,
115,智利,INN,National Standardization Institute,
116,哥伦比亚,ONAC,National Accreditation Body of Colombia,
117,哥斯达黎加,ECA ,Costarrican Accreditation Body,
118,古巴,ONARC,National Accreditation Body of the Republic of Cuba,
119,厄瓜多尔,SAE,Servicio de Acreditación Ecuatoriano,
120,危地马拉,OGA,Guatemalan Accreditation Bureau,
121,牙买加,JANAAC,Jamaica National Agency for Accreditation,
122,尼加拉瓜,ONA,National Accreditation Bureau,
123,巴拉圭,ONA,National Accreditation Body,
124,秘鲁,INDECOPI - SNA,National Institute for the Defense of Competition and Protection of Intellectual Property,
125,特立尼达和多巴哥,TTLABS,Trinidad & Tobago Laboratory Accreditation Services,
126,乌拉圭,OUA,Uruguayan Accreditation Body,
127,萨尔瓦多,OSA,Salvadoran Accreditation Body,
128,巴拿马,CAN,National Accreditation Council,
129,加拿大,SCC,Standards Council of Canada,
130,加拿大,CALA,Canadian Association for Laboratory Accreditation Inc.,
131,加拿大,IQMH,Institute for Quality Management in Healthcare,
132,美国,ANSI ,American National Standards Institute,
133,美国,IAS,International Accreditation Service,
134,美国,,IOAS,
135,美国,A2LA,American Association for Laboratory Accreditation,
136,美国,AIHA-LAP,"American Industrial Hygiene Association, Laboratory Accreditation Program, LLC",
137,美国,ANAB,ANSI-ASQ National Accreditation Board,
138,美国,ASCLD/LAB,American Society of Crime Laboratory Directors / Laboratory Accreditation Board,
139,美国,NVLAP,National Voluntary Laboratory Accreditation Program,
140,美国,ASB,"Laboratory Accreditation Bureau (L-A-B), Accreditation Service Bereau",
141,美国,PJLA,"Perry Johnson Laboratory Accreditation, Inc.",
142,美国,AIHA-LAP, the American Industrial Hygiene Association Laboratory Accreditation Program,
143,新西兰,JAS-ANZ,Joint Accreditation System of Australia and New Zealand,
144,新西兰,IANZ,International Accreditation New Zealand,
145,澳大利亚,JAS-ANZ,Joint Accreditation System of Australia and New Zealand,
146,澳大利亚,NATA,National Association of Testing Authorities,
147,巴布亚新几内亚,PNGLAS,Papua New Guinea Laboratory Accreditation Scheme,
